Year,Country,Area (Million Hectares)
1992,England,0.175
1992,Wales,0.012
1992,Scotland,0.121
1992,Northern Ireland,0.000
1993,England,0.331
1993,Wales,0.024
1993,Scotland,0.124
1993,Northern Ireland,0.000
1994,England,0.420
1994,Wales,0.047
1994,Scotland,0.150
1994,Northern Ireland,0.000
1995,England,0.505
1995,Wales,0.062
1995,Scotland,0.301
1995,Northern Ireland,0.083
1996,England,0.529
1996,Wales,0.074
1996,Scotland,0.374
1996,Northern Ireland,0.118
1997,England,0.577
1997,Wales,0.082
1997,Scotland,0.441
1997,Northern Ireland,0.131
1998,England,0.630
1998,Wales,0.089
1998,Scotland,0.542
1998,Northern Ireland,0.145
1999,England,0.705
1999,Wales,0.258
1999,Scotland,0.696
1999,Northern Ireland,0.152
2000,England,0.805
2000,Wales,0.274
2000,Scotland,0.844
2000,Northern Ireland,0.154
2001,England,0.914
2001,Wales,0.279
2001,Scotland,0.854
2001,Northern Ireland,0.167
2002,England,1.010
2002,Wales,0.289
2002,Scotland,0.980
2002,Northern Ireland,0.201
2003,England,1.156
2003,Wales,0.281
2003,Scotland,1.045
2003,Northern Ireland,0.236
2004,England,1.223
2004,Wales,0.286
2004,Scotland,1.065
2004,Northern Ireland,0.242
2005,England,1.148
2005,Wales,0.459
2005,Scotland,1.051
2005,Northern Ireland,0.249
2006,England,1.179
2006,Wales,0.431
2006,Scotland,0.991
2006,Northern Ireland,0.459
2007,England,1.196
2007,Wales,0.442
2007,Scotland,0.828
2007,Northern Ireland,0.448
2008,England,1.236
2008,Wales,0.394
2008,Scotland,0.582
2008,Northern Ireland,0.437
2009,England,1.276
2009,Wales,0.403
2009,Scotland,0.680
2009,Northern Ireland,0.461
2010,England,1.493
2010,Wales,0.389
2010,Scotland,0.790
2010,Northern Ireland,0.459
2011,England,1.395
2011,Wales,0.386
2011,Scotland,0.910
2011,Northern Ireland,0.440
2012,England,1.420
2012,Wales,0.370
2012,Scotland,1.130
2012,Northern Ireland,0.450
2013,England,1.400
2013,Wales,0.390
2013,Scotland,1.160
2013,Northern Ireland,0.390
2014,England,1.350
2014,Wales,0.200
2014,Scotland,1.210
2014,Northern Ireland,0.360
2015,England,1.340
2015,Wales,0.250
2015,Scotland,0.980
2015,Northern Ireland,0.310
2016,England,1.360
2016,Wales,0.280
2016,Scotland,0.690
2016,Northern Ireland,0.050
2017,England,1.430
2017,Wales,0.350
2017,Scotland,0.990
2017,Northern Ireland,0.050
2018,England,1.610
2018,Wales,0.450
2018,Scotland,1.060
2018,Northern Ireland,0.070
2019,England,1.800
2019,Wales,0.430
2019,Scotland,1.170
2019,Northern Ireland,0.050
2020,England,1.853
2020,Wales,0.506
2020,Scotland,1.211
2020,Northern Ireland,0.053
2021,England,2.279
2021,Wales,0.470
2021,Scotland,1.180
2021,Northern Ireland,0.061
2022,England,2.349
2022,Wales,0.380
2022,Scotland,0.870
2022,Northern Ireland,0.063