Year,Unsmoothed index,Smoothed index,Lower ci,Upper ci
1976,176.267,100,88.195,111.81
1977,46.684,93.147,83.452,102.84
1978,76.238,86.891,78.655,95.13
1979,71.808,81.471,74.098,88.84
1980,72.472,77.038,70.093,83.98
1981,37.685,73.673,66.898,80.45
1982,72.807,71.424,64.69,78.16
1983,63.852,70.068,63.341,76.79
1984,88.547,69.391,62.665,76.12
1985,75.365,69.13,62.414,75.85
1986,67.169,69.173,62.477,75.87
1987,77.655,69.448,62.776,76.12
1988,58.772,69.871,63.22,76.52
1989,68.261,70.419,63.789,77.05
1990,78.917,70.986,64.37,77.6
1991,63.266,71.45,64.844,78.06
1992,88.14,71.75,65.151,78.35
1993,68.576,71.758,65.163,78.35
1994,73.99,71.476,64.885,78.07
1995,82.636,70.879,64.287,77.47
1996,76.59,69.961,63.369,76.55
1997,78.014,68.802,62.211,75.39
1998,53.848,67.537,60.945,74.13
1999,58.233,66.368,59.776,72.96
2000,60.698,65.393,58.802,71.99
2001,59.453,64.65,58.058,71.24
2002,53.601,64.14,57.548,70.73
2003,65.943,63.828,57.236,70.42
2004,71.15,63.597,57.005,70.19
2005,68.261,63.347,56.755,69.94
2006,80.755,63.031,56.44,69.62
2007,52.623,62.647,56.052,69.24
2008,46.577,62.319,55.721,68.92
2009,59.453,62.101,55.495,68.71
2010,77.477,61.923,55.307,68.54
2011,76.943,61.701,55.071,68.33
2012,41.321,61.461,54.81,68.11
2013,60.978,61.35,54.675,68.02
2014,67.015,61.36,54.665,68.06
2015,57.699,61.486,54.769,68.2
2016,46.9,61.754,55.027,68.48
2017,52.14,62.173,55.443,68.9
2018,72.139,62.633,55.9,69.37
2019,73.65,62.954,56.175,69.73
2020,68.892,63.021,56.073,69.97
2021,67.947,62.804,55.421,70.19
2022,67.947,62.319,54.055,70.58
2023,65.49,61.614,51.875,71.35
2024,44.378,60.788,48.913,72.66