Common name,Species name,Long-term trend (1985-2012) [note 1],Early short-term trend (1985-2000) [note 1],Late short-term trend (2000-2012) [note 1]
Brimstone,Gonepteryx rhamni,Increase,Decrease,Increase
Brown Argus,Aricia agestis,No change,Decrease,Increase
Chalk-Hill Blue,Polyommatus (Lysandra) coridon,Increase,No change,Increase
Comma,Polygonia c-album,Increase,No change,Increase
Common Blue,Polyommatus icarus,Increase,Decrease,Increase
Dark Green Fritillary,Argynnis aglaja,Decrease,Decrease,No change
Dingy Skipper,Erynnis tages,Decrease,No change,Decrease
Essex Skipper,Thymelicus lineola,[x],[x],No change
Gatekeeper,Pyronia tithonus,Decrease,Decrease,Increase
Grayling,Hipparchia semele,[x],[x],Decrease
Green Hairstreak,Callophrys rubi,Decrease,No change,Increase
Green-Veined White,Pieris napi,Increase,Decrease,Increase
Grizzled Skipper,Pyrgus malvae,No change,No change,Decrease
Holly Blue,Celastrina argiolus,Decrease,Decrease,Decrease
Large Skipper,Ochlodes sylvanus,Increase,Decrease,Increase
Large White,Pieris brassicae,Increase,Decrease,Increase
Marbled White,Melanargia galathea,No change,Decrease,Increase
Meadow Brown,Maniola jurtina,Decrease,Decrease,Increase
Orange Tip,Anthocharis cardamines,[x],Decrease,Increase
Peacock,Inachis io,Increase,Decrease,Increase
Pearl-Bordered Fritillary,Boloria euphrosyne,[x],[x],[x]
Purple Hairstreak,Neozephrus (Quercusia) quercus,No change,No change,No change
Ringlet,Aphantopus hyperantus,Increase,No change,Increase
Silver-Washed Fritillary,Argynnis paphia,Increase,No change,Increase
Small Copper,Lycaena phlaeas,Decrease,Decrease,No change
Small Heath,Coenonympha pamphilus,No change,No change,No change
Small Pearl-Bordered Fritillary,Boloria selene,[x],[x],No change
Small Skipper,Thymelicus sylvestris,Decrease,Decrease,Increase
Small Tortoiseshell,Aglais urticae,Decrease,Decrease,Increase
Small White,Pieris rapae,Increase,Decrease,Increase
Speckled Wood,Pararge aegeria,Increase,Decrease,Increase
Wall Brown,Lasiommata megera,[x],Decrease,Increase
White Admiral,Limenitis camilla,Increase,No change,Increase